SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,MasVnrArea,Fireplaces,MSZoning,Neighborhood,Condition2,MasVnrType,ExterQual,BsmtQual,CentralAir,Electrical,KitchenQual,SaleType
208500,7,1710,2,856,2,2003,2003,196.0,0,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
181500,6,1262,2,1262,2,1976,1976,0.0,1,RL,Veenker,Norm,None,TA,Gd,Y,SBrkr,TA,WD
223500,7,1786,2,920,2,2001,2002,162.0,1,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
140000,7,1717,3,756,1,1915,1970,0.0,1,RL,Crawfor,Norm,None,TA,TA,Y,SBrkr,Gd,WD
143000,5,1362,2,796,1,1993,1995,0.0,0,RL,Mitchel,Norm,None,TA,Gd,Y,SBrkr,TA,WD
307000,8,1694,2,1686,2,2004,2005,186.0,1,RL,Somerst,Norm,Stone,Gd,Ex,Y,SBrkr,Gd,WD
200000,7,2090,2,1107,2,1973,1973,240.0,2,RL,NWAmes,Norm,Stone,TA,Gd,Y,SBrkr,TA,WD
129900,7,1774,2,952,2,1931,1950,0.0,2,RM,OldTown,Norm,None,TA,TA,Y,FuseF,TA,WD
118000,5,1077,1,991,1,1939,1950,0.0,2,RL,BrkSide,Artery,None,TA,TA,Y,SBrkr,TA,WD
129500,5,1040,1,1040,1,1965,1965,0.0,0,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,TA,WD
144000,5,912,1,912,1,1962,1962,0.0,0,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,TA,WD
279500,7,1494,3,1494,2,2006,2007,306.0,1,RL,CollgCr,Norm,Stone,Gd,Gd,Y,SBrkr,Gd,New
157000,6,1253,1,1253,1,1960,1960,212.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
132000,7,854,2,832,1,1929,2001,0.0,0,RM,BrkSide,Norm,None,TA,TA,Y,FuseA,TA,WD
149000,6,1004,2,1004,1,1970,1970,180.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
159000,5,1114,2,1114,1,2004,2004,0.0,0,RL,SawyerW,Norm,None,TA,TA,Y,SBrkr,Gd,WD
139000,5,1339,1,1029,1,1958,1965,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,COD
139400,7,1108,1,637,1,1930,1950,0.0,1,RM,IDOTRR,Norm,None,TA,TA,Y,FuseF,Gd,WD
230000,8,1795,2,1777,2,2002,2002,281.0,1,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
129900,5,1060,2,1040,1,1976,1976,0.0,1,RM,MeadowV,Norm,None,TA,Gd,Y,SBrkr,TA,WD
154000,5,1060,1,1060,1,1968,2001,0.0,1,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,Gd,WD
134800,5,900,2,900,1,1951,2000,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,Gd,WD
306000,8,1704,3,1704,2,2007,2008,200.0,1,RL,NridgHt,Norm,Stone,Gd,Ex,Y,SBrkr,Gd,WD
207500,5,1600,1,1484,1,1957,1997,0.0,2,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,WD
68500,4,520,1,520,1,1927,1950,0.0,0,RM,BrkSide,RRNn,None,TA,TA,N,SBrkr,Fa,WD
40000,4,1317,1,649,1,1920,1950,0.0,0,C (all),IDOTRR,Norm,None,TA,TA,N,SBrkr,TA,WD
149350,5,1228,1,1228,1,1966,2006,0.0,0,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,Gd,WD
179900,8,1234,2,1234,2,2007,2007,0.0,0,RL,CollgCr,Norm,None,Gd,Ex,Y,SBrkr,Gd,WD
165500,5,1700,2,1398,1,1959,1959,0.0,1,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,Gd,WD
277500,9,1561,2,1561,2,2005,2005,246.0,1,RL,NridgHt,Norm,BrkFace,Ex,Ex,Y,SBrkr,Ex,WD
309000,8,2452,3,1117,3,2004,2005,132.0,1,RL,NridgHt,Norm,Stone,Gd,Ex,Y,SBrkr,Gd,WD
145000,5,1097,2,1097,1,1994,1995,0.0,0,RL,CollgCr,Norm,None,TA,Gd,Y,SBrkr,TA,WD
109000,5,1057,1,1057,1,1953,2007,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,Gd,WD
160000,6,1324,2,1088,2,1965,1965,101.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
170000,5,1328,1,1350,1,1959,1959,0.0,2,RL,Timber,Norm,None,TA,TA,Y,SBrkr,TA,WD
144000,5,884,2,840,1,1983,1983,0.0,0,RL,SawyerW,Norm,None,TA,Gd,Y,SBrkr,Gd,WD
130250,5,938,1,938,1,1975,1980,0.0,0,RL,CollgCr,Norm,None,TA,Gd,Y,SBrkr,TA,WD
141000,5,1150,1,1150,1,1959,1959,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,FuseA,TA,WD
239686,7,2149,2,1434,1,2003,2003,0.0,1,RL,Mitchel,Norm,None,Gd,Ex,Y,SBrkr,Gd,WD
249700,8,1656,3,1656,2,2006,2006,0.0,0,FV,Somerst,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
113000,4,1452,0,736,2,1920,2008,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,New
127000,5,955,1,955,1,1966,1966,0.0,0,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,TA,WD
177000,6,1470,2,794,2,1997,1997,0.0,0,RL,Gilbert,Norm,None,TA,Gd,Y,SBrkr,TA,WD
114500,6,1176,2,816,1,1934,1950,0.0,1,RM,BrkSide,Norm,None,TA,TA,Y,SBrkr,TA,WD
110000,5,816,2,816,1,1963,1963,0.0,0,RM,IDOTRR,Norm,None,Fa,Gd,N,SBrkr,TA,WD
130000,5,1360,2,384,1,1955,1955,0.0,1,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,WD
180500,6,1425,2,1425,2,1964,1964,272.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
196500,7,1720,2,860,2,2004,2004,0.0,0,RL,CollgCr,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
124900,5,780,1,780,1,1972,1972,0.0,0,RL,CollgCr,Norm,None,TA,TA,Y,SBrkr,TA,WD
158000,6,1158,2,1158,1,2004,2004,0.0,0,RL,SawyerW,Norm,None,TA,Gd,Y,SBrkr,Gd,New
101000,5,1111,1,530,1,1920,1996,0.0,0,RM,IDOTRR,Norm,None,TA,TA,N,SBrkr,Fa,WD
202500,8,1370,2,1370,2,2006,2006,178.0,1,RL,NridgHt,Norm,Stone,Gd,Gd,Y,SBrkr,Gd,WD
140000,7,1710,2,576,2,1921,1950,0.0,0,RM,OldTown,Feedr,None,TA,TA,Y,SBrkr,TA,WD
317000,8,2473,3,1143,2,2004,2005,344.0,1,RL,NridgHt,Norm,BrkFace,Gd,Ex,Y,SBrkr,Gd,WD
226000,7,1479,2,1453,2,2003,2003,167.0,0,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
80000,4,747,1,747,1,1945,1950,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,WD
225000,7,2287,2,1304,2,1953,1953,0.0,1,RL,ClearCr,Norm,None,Gd,TA,Y,SBrkr,TA,WD
129500,4,845,2,845,1,1982,2006,0.0,0,RL,Mitchel,Norm,None,TA,TA,Y,SBrkr,TA,WD
185000,7,1718,2,832,2,1998,1998,40.0,1,RL,Gilbert,Norm,BrkFace,TA,Gd,Y,SBrkr,TA,WD
144900,5,1086,2,1086,1,1954,2003,104.0,0,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
107400,3,1605,1,840,2,1915,1950,0.0,0,RM,OldTown,Norm,None,Gd,Fa,N,SBrkr,TA,WD
91000,4,988,1,462,1,1973,1973,0.0,0,RM,MeadowV,Norm,None,TA,Gd,Y,SBrkr,TA,WD
135750,4,952,1,952,1,1956,1956,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,FuseA,TA,WD
127000,5,1285,1,672,1,1948,2001,0.0,0,RM,BrkSide,Norm,None,TA,TA,Y,SBrkr,TA,WD
136500,4,1768,0,1768,2,1968,1968,0.0,0,RL,Sawyer,Norm,None,TA,TA,N,SBrkr,TA,WD
110000,5,1230,2,440,1,1910,1981,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,WD
126500,5,1065,2,1065,1,1960,1960,66.0,0,RL,NAmes,Norm,BrkCmn,TA,TA,Y,SBrkr,TA,COD
168500,7,1474,2,384,2,1995,1996,22.0,1,RL,Gilbert,Norm,BrkFace,TA,Gd,Y,SBrkr,TA,WD
260000,8,2417,2,1288,2,1991,1992,284.0,1,RL,NoRidge,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
174000,6,1560,2,684,2,2005,2005,0.0,1,RL,Gilbert,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
164500,6,1224,2,612,2,2009,2009,76.0,0,FV,Somerst,Norm,Stone,Gd,Gd,Y,SBrkr,Gd,New
85000,3,1526,0,1013,1,1915,1982,0.0,0,C (all),IDOTRR,Feedr,None,Fa,TA,N,SBrkr,Fa,ConLD
123600,4,990,0,990,1,1994,1995,0.0,0,RL,CollgCr,Norm,None,TA,Gd,Y,SBrkr,TA,WD
98600,5,1235,2,1235,1,1961,1961,203.0,0,RL,NAmes,Norm,BrkCmn,TA,TA,Y,SBrkr,TA,WD
163500,5,964,2,876,1,1921,2006,0.0,0,RL,Crawfor,Norm,None,TA,Gd,Y,SBrkr,TA,WD
133900,6,2291,2,1214,2,1910,1998,0.0,1,C (all),OldTown,Norm,None,TA,TA,N,SBrkr,TA,WD
204750,6,1786,2,824,2,1997,1997,0.0,0,RL,CollgCr,Norm,None,TA,Gd,Y,SBrkr,Gd,WD
185000,6,1470,2,680,2,1993,1993,68.0,1,RL,Gilbert,Norm,BrkFace,Ex,Gd,Y,SBrkr,TA,WD
214000,7,1588,2,1588,2,1999,1999,183.0,0,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
94750,4,960,1,960,1,1965,1965,48.0,0,RL,Edwards,Norm,BrkFace,TA,TA,Y,FuseF,TA,WD
83000,5,835,1,458,1,1920,1950,0.0,0,RL,Edwards,Norm,None,TA,TA,N,SBrkr,TA,COD
128950,4,1225,0,950,1,1959,1959,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,WD
205000,6,1610,2,1610,2,1977,2001,28.0,2,RL,NWAmes,Norm,BrkFace,TA,TA,Y,SBrkr,Gd,WD
178000,6,1732,2,741,2,1985,1985,336.0,1,RL,SawyerW,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
198900,7,1226,3,1226,2,2009,2009,0.0,0,RL,CollgCr,Norm,None,TA,Gd,Y,SBrkr,Gd,WD
115000,5,789,1,789,1,1948,1950,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,WD
115000,5,1517,0,793,2,1919,2005,0.0,0,RM,IDOTRR,Norm,None,TA,TA,N,FuseF,Fa,WD
136900,6,1855,1,994,2,1954,1972,0.0,0,RL,Edwards,Norm,None,TA,TA,Y,SBrkr,TA,WD
180000,7,1430,2,384,2,2000,2000,0.0,1,RL,Gilbert,Norm,None,TA,Gd,Y,SBrkr,TA,WD
217000,6,2259,2,1809,2,1953,1953,184.0,2,RL,Crawfor,Norm,BrkFace,TA,Gd,Y,SBrkr,Gd,COD
259500,6,2320,1,1028,2,1945,2002,0.0,1,RL,Crawfor,Norm,None,TA,TA,Y,SBrkr,Gd,WD
139000,5,1092,1,1092,1,1962,1962,116.0,1,RL,Sawyer,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
155000,5,1125,2,1125,1,2006,2007,0.0,0,RL,Edwards,Norm,None,TA,Gd,Y,SBrkr,TA,New
163990,6,1456,2,728,2,2005,2006,0.0,1,RL,CollgCr,Norm,None,Gd,Gd,Y,SBrkr,Gd,New
180000,6,988,2,938,1,1969,1969,0.0,2,RL,ClearCr,Norm,None,TA,TA,Y,SBrkr,TA,WD
100000,4,1123,1,732,1,1939,1950,0.0,0,RM,IDOTRR,Norm,None,TA,TA,Y,SBrkr,TA,WD
136000,6,1080,1,1080,1,1958,1958,135.0,0,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
153900,6,1199,2,1199,2,1993,1993,0.0,0,RL,SawyerW,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
181000,6,1586,2,1362,2,1979,1998,0.0,1,RL,NWAmes,Norm,None,TA,Gd,Y,SBrkr,TA,WD
84500,6,754,0,520,1,1935,1982,0.0,0,RM,IDOTRR,Norm,None,TA,TA,N,SBrkr,TA,WD
128000,6,958,2,1078,2,1976,1976,0.0,1,RL,NPkVill,Norm,None,TA,Gd,Y,SBrkr,TA,WD
87000,5,840,0,672,1,1930,1950,0.0,1,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,WD
155000,6,1348,2,660,1,1966,1966,266.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
150000,5,1053,2,1008,1,1958,1991,85.0,0,RL,NAmes,Norm,BrkFace,TA,TA,Y,FuseA,Ex,WD
226000,7,2157,2,924,2,1966,1966,309.0,2,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,Gd,WD
244000,6,2054,2,992,2,2000,2000,40.0,1,RL,Gilbert,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
150750,5,1327,2,1063,1,1959,2002,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,Gd,WD
220000,8,1296,2,1267,2,2001,2002,136.0,0,RL,Timber,Norm,BrkFace,Gd,Ex,Y,SBrkr,Gd,WD
180000,5,1721,2,1461,2,1968,1993,0.0,1,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,TA,WD
174000,7,1682,2,1304,2,1970,1970,288.0,1,RL,NWAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
143000,5,1214,1,1214,2,1967,1967,196.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
171000,7,1959,3,1907,3,1988,1989,70.0,0,RL,Mitchel,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
230000,8,1852,3,1004,2,1999,2000,320.0,2,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
231500,6,1764,2,928,2,1997,1997,0.0,0,RL,CollgCr,Norm,None,TA,Gd,Y,SBrkr,Gd,WD
115000,4,864,0,864,1,1971,1971,0.0,1,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,ConLI
260000,7,1734,2,1734,2,2005,2005,0.0,0,RL,CollgCr,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
166000,5,1385,2,910,2,1952,1952,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,WD
204000,7,1501,2,1490,2,1999,1999,183.0,0,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
125000,5,1728,2,1728,2,1963,1963,336.0,0,RM,Sawyer,Norm,BrkFace,TA,TA,Y,SBrkr,TA,ConLI
130000,6,1709,2,970,2,2004,2006,50.0,0,RM,Edwards,Norm,Stone,Gd,Gd,Y,SBrkr,Gd,WD
105000,5,875,1,715,1,1931,1993,0.0,0,RM,BrkSide,Norm,None,TA,TA,Y,FuseA,TA,WD
222500,7,2035,2,884,2,2001,2001,180.0,1,RL,Gilbert,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
141000,7,1080,0,1080,1,2004,2005,120.0,0,RL,SawyerW,Norm,BrkFace,TA,Gd,Y,SBrkr,Gd,WD
115000,5,1344,1,896,1,1936,1950,0.0,0,RM,BrkSide,Norm,None,TA,Gd,Y,FuseA,TA,WD
122000,5,969,2,969,1,1975,1975,0.0,0,RL,CollgCr,Norm,None,TA,TA,Y,SBrkr,TA,WD
190000,6,1993,2,825,2,1971,1971,252.0,1,RL,NWAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
235000,6,1252,2,1602,1,1960,1975,0.0,1,RL,ClearCr,Norm,None,TA,Gd,Y,SBrkr,TA,WD
125000,6,1200,1,1200,1,1923,1950,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,FuseA,TA,WD
79000,6,1096,0,572,1,1924,1950,0.0,0,RL,Edwards,Norm,None,TA,TA,N,FuseF,TA,WD
269500,8,1968,3,774,2,2009,2010,84.0,1,RL,Timber,Norm,BrkFace,Gd,Ex,Y,SBrkr,Ex,New
254900,7,1947,2,991,2,2004,2005,0.0,1,FV,Somerst,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
162500,6,1232,2,1232,2,1984,1984,0.0,0,RL,Veenker,Norm,None,TA,Gd,Y,SBrkr,TA,WD
220000,7,1541,2,1541,2,2005,2005,226.0,1,RL,NridgHt,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,New
103200,4,882,0,882,1,1956,1956,0.0,0,RL,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,WD
152000,6,1616,1,1149,2,1926,2004,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,FuseA,Gd,WD
127500,5,1355,0,644,2,1940,1999,0.0,0,RL,Edwards,Norm,None,TA,TA,Y,SBrkr,TA,WD
325624,8,2161,3,1582,1,2007,2007,300.0,1,RL,NridgHt,Norm,Stone,Gd,Ex,Y,SBrkr,Ex,New
183500,7,1720,2,840,2,2004,2004,0.0,1,RL,Gilbert,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
128500,5,1382,2,720,1,1941,1950,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,WD
215000,6,1656,2,1080,1,1960,1960,112.0,2,RL,NAmes,Norm,Stone,TA,TA,Y,SBrkr,TA,WD
239000,7,1767,2,1064,2,1987,1987,0.0,1,RL,StoneBr,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
184000,6,1651,2,1606,2,1986,1986,132.0,1,RL,Timber,Norm,Stone,TA,Gd,Y,SBrkr,TA,WD
243000,6,2158,2,1202,2,1950,2001,0.0,1,RL,Edwards,Norm,None,TA,TA,Y,SBrkr,Gd,WD
211000,6,2060,2,1151,2,1988,1989,268.0,1,RL,ClearCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,TA,WD
172500,5,1920,2,1052,2,1958,1958,0.0,1,RL,Sawyer,Norm,None,Gd,TA,Y,SBrkr,Gd,WD
100000,5,968,2,968,1,1923,2006,0.0,0,RM,OldTown,Norm,None,Gd,TA,Y,SBrkr,TA,WD
200100,7,1802,1,793,1,1920,1950,0.0,1,RL,Crawfor,Norm,None,TA,Fa,Y,SBrkr,TA,WD
200000,7,2082,2,1362,2,2003,2003,0.0,0,RM,OldTown,Norm,None,TA,Gd,Y,SBrkr,Gd,WD
127000,5,1252,2,504,1,1908,1991,0.0,0,RL,BrkSide,Feedr,None,TA,Fa,Y,SBrkr,TA,WD
173000,7,1217,2,1188,2,1990,1991,0.0,0,RL,Mitchel,Norm,None,TA,Gd,Y,SBrkr,Gd,WD
135000,5,1656,1,660,2,1916,1987,0.0,0,RL,OldTown,Norm,None,TA,Fa,Y,SBrkr,TA,WD
153337,5,1224,2,1086,0,1979,1979,275.0,2,RL,SawyerW,Norm,Stone,TA,Gd,Y,SBrkr,TA,WD
286000,8,1593,2,1593,1,2001,2002,0.0,1,RL,StoneBr,Norm,None,Gd,Ex,Y,SBrkr,Ex,WD
184000,7,1479,2,725,1,1972,2004,138.0,0,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,Gd,WD
192000,7,1431,2,1431,2,1999,1999,0.0,0,RL,CollgCr,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
130000,7,1709,2,970,2,2004,2004,50.0,0,RM,Edwards,Norm,Stone,Gd,Gd,Y,SBrkr,Gd,WD
127000,5,864,1,864,1,1972,1972,0.0,0,RL,CollgCr,Norm,None,TA,TA,Y,SBrkr,TA,WD
148500,6,1456,2,855,2,1976,1976,0.0,1,RL,NPkVill,Norm,None,TA,Gd,Y,SBrkr,TA,WD
311872,7,1726,3,1726,2,2007,2007,205.0,1,RL,Somerst,Norm,Stone,Ex,Ex,Y,SBrkr,Ex,New
104000,6,2229,0,755,1,1912,1950,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,WD
274900,8,1713,3,1713,2,2004,2005,262.0,1,RL,NridgHt,Norm,BrkFace,Gd,Ex,Y,SBrkr,Ex,WD
140000,4,1121,2,1121,2,2003,2004,0.0,0,RM,Edwards,Norm,None,TA,Gd,Y,SBrkr,TA,WD
171500,6,1279,2,1196,2,1977,1977,0.0,2,RL,Mitchel,Norm,None,TA,TA,Y,SBrkr,TA,WD
112000,6,1310,1,617,2,1924,1950,0.0,0,RL,OldTown,Norm,None,TA,Fa,Y,SBrkr,TA,COD
149000,6,848,2,848,1,2004,2004,205.0,1,RM,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
110000,5,1284,1,720,1,1947,1950,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,TA,WD
180500,7,1442,2,1424,2,1990,1990,0.0,0,RL,Gilbert,Norm,None,TA,Gd,Y,SBrkr,TA,WD
143900,5,1696,1,1140,1,1962,1962,0.0,1,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,TA,WD
141000,4,1100,1,1100,1,1960,1960,0.0,1,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,WD
277000,7,2062,2,1157,2,1988,1989,128.0,1,RL,SawyerW,Norm,BrkFace,Gd,Gd,Y,SBrkr,TA,WD
145000,6,1092,2,1092,1,1964,1964,260.0,0,RL,NAmes,Norm,Stone,TA,Gd,Y,SBrkr,TA,WD
98000,5,864,0,864,1,1925,1950,0.0,0,RL,Edwards,Norm,None,TA,TA,N,FuseA,TA,WD
186000,6,1212,2,1212,2,2009,2009,0.0,0,RL,Edwards,Norm,None,TA,Gd,Y,SBrkr,Gd,WD
252678,7,1852,2,900,2,2009,2009,0.0,1,FV,Somerst,Norm,None,TA,Gd,Y,SBrkr,Gd,New
156000,5,990,2,990,1,1995,1995,0.0,0,RL,CollgCr,Norm,None,TA,Gd,Y,SBrkr,TA,WD
161750,6,1392,1,689,1,1977,1977,153.0,0,RL,CollgCr,Norm,BrkFace,TA,Gd,Y,SBrkr,TA,WD
134450,5,1236,1,1070,1,1957,1996,64.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,Gd,WD
210000,7,1436,2,1436,2,2004,2004,266.0,0,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
107000,4,1328,1,686,1,1925,1950,0.0,0,RM,OldTown,Norm,None,TA,TA,N,SBrkr,TA,WD
311500,7,1954,2,798,1,1939,2006,312.0,2,RL,Crawfor,Norm,BrkFace,Gd,TA,Y,SBrkr,Gd,WD
167240,7,1248,2,1248,2,2005,2006,16.0,0,RL,Blmngtn,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,New
204900,7,1498,2,1498,2,2006,2006,0.0,0,RL,CollgCr,Norm,None,Gd,Gd,Y,SBrkr,Gd,New
200000,6,2267,2,1010,2,2002,2002,0.0,1,RL,Gilbert,Norm,None,Gd,Gd,Y,SBrkr,Gd,ConLI
179900,6,1552,2,713,2,1975,1975,0.0,1,RL,NWAmes,Norm,None,TA,Gd,Y,SBrkr,TA,WD
97000,4,864,2,864,1,1971,1971,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,WD
112000,5,1302,1,630,2,1971,1971,142.0,0,RM,BrDale,Norm,BrkFace,TA,TA,Y,SBrkr,TA,COD
290000,7,2520,3,1203,2,1995,1995,290.0,1,RL,NoRidge,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
106000,6,987,1,483,1,1970,1970,127.0,0,RM,BrDale,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
125000,5,912,1,912,1,1967,1967,0.0,1,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,TA,WD
192500,7,1555,2,1373,2,2005,2006,16.0,1,RL,Blmngtn,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
148000,6,1194,1,1194,1,1959,1959,220.0,0,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
94500,6,987,1,483,1,1972,1972,297.0,1,RM,BrDale,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
128200,5,894,1,894,1,1976,1976,0.0,0,RL,CollgCr,Norm,None,TA,TA,Y,SBrkr,TA,WD
216500,6,1960,2,860,2,2002,2002,103.68526170798899,2,RL,Gilbert,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
185500,7,1414,2,1414,2,2004,2004,98.0,0,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
194500,7,1744,2,996,2,1993,2003,0.0,0,RL,SawyerW,Norm,None,Gd,Gd,Y,SBrkr,Gd,WD
318000,8,1694,3,1694,2,2007,2007,254.0,0,RL,NridgHt,Norm,BrkFace,Ex,Ex,Y,SBrkr,Gd,New
113000,6,1487,1,735,1,1945,1950,0.0,1,RL,Edwards,Norm,None,TA,TA,Y,FuseA,TA,WD
262500,8,1566,2,1566,2,2008,2008,36.0,0,FV,Somerst,Norm,Stone,Gd,Gd,Y,SBrkr,Gd,WD
110500,5,866,0,686,1,1945,1997,0.0,0,RM,OldTown,Norm,None,TA,TA,Y,SBrkr,Gd,WD
